"Question","Breakdown1","Breakdown1Code","Breakdown2","Breakdown2Code","value"
"OAPs active at period end","Ccg","09J","","","*"
"OAPs active at period end","Ccg","09L","","","*"
"OAPs active at period end","Ccg","09N","","","*"
"OAPs active at period end","Ccg","09P","","","*"
"OAPs active at period end","Ccg","09W","","","*"
"OAPs active at period end","Ccg","09X","","","*"
"OAPs active at period end","Ccg","09Y","","","*"
"OAPs active at period end","Ccg","10A","","","*"
"OAPs active at period end","Ccg","10C","","","*"
"OAPs active at period end","Ccg","10D","","","*"
"OAPs active at period end","Ccg","10E","","","*"
"OAPs active at period end","Ccg","10G","","","*"
"OAPs active at period end","Ccg","10H","","","*"
"OAPs active at period end","Ccg","10J","","","*"
"OAPs active at period end","Ccg","10K","","","*"
"OAPs active at period end","Ccg","10L","","","*"
"OAPs active at period end","Ccg","10M","","","*"
"OAPs active at period end","Ccg","10N","","","*"
"OAPs active at period end","Ccg","10Q","","","*"
"OAPs active at period end","Ccg","10R","","","*"
"OAPs active at period end","Ccg","10T","","","*"
"OAPs active at period end","Ccg","10V","","","5"
"OAPs active at period end","Ccg","10W","","","*"
"OAPs active at period end","Ccg","10X","","","15"
"OAPs active at period end","Ccg","10Y","","","*"
"OAPs active at period end","Ccg","11A","","","15"
"OAPs active at period end","Ccg","11C","","","*"
"OAPs active at period end","Ccg","11D","","","*"
"OAPs active at period end","Ccg","11E","","","*"
"OAPs active at period end","Ccg","11H","","","*"
"OAPs active at period end","Ccg","11J","","","15"
"OAPs active at period end","Ccg","11M","","","*"
"OAPs active at period end","Ccg","11N","","","10"
"OAPs active at period end","Ccg","11T","","","*"
"OAPs active at period end","Ccg","11X","","","*"
"OAPs active at period end","Ccg","12A","","","*"
"OAPs active at period end","Ccg","12D","","","*"
"OAPs active at period end","Ccg","12F","","","*"
"OAPs active at period end","Ccg","13P","","","*"
"OAPs active at period end","Ccg","13T","","","*"
"OAPs active at period end","Ccg","999","","","60"
"OAPs active at period end","Ccg","99A","","","*"
"OAPs active at period end","Ccg","99C","","","*"
"OAPs active at period end","Ccg","99D","","","*"
"OAPs active at period end","Ccg","99E","","","*"
"OAPs active at period end","Ccg","99F","","","*"
"OAPs active at period end","Ccg","99G","","","*"
"OAPs active at period end","Ccg","99H","","","*"
"OAPs active at period end","Ccg","99J","","","*"
"OAPs active at period end","Ccg","99K","","","*"
"OAPs active at period end","Ccg","99M","","","*"
"OAPs active at period end","Ccg","99N","","","*"
"OAPs active at period end","Ccg","99P","","","20"
"OAPs active at period end","Ccg","99Q","","","*"
"OAPs active at period end","Gender","England","","","528"
"OAPs active at period end","Gender","1","","","292"
"OAPs active at period end","Gender","2","","","236"
"OAPs active at period end","Gender","9","","","0"
"OAPs active at period end","Gender","X","","","0"
"OAPs active at period end","MhaStatus","England","","","528"
"OAPs active at period end","MhaStatus","1","","","312"
"OAPs active at period end","MhaStatus","2","","","216"
"OAPs active at period end","OutOfAreaReason","England","","","528"
"OAPs active at period end","OutOfAreaReason","10","","","504"
"OAPs active at period end","OutOfAreaReason","11","","","3"
"OAPs active at period end","OutOfAreaReason","12","","","2"
"OAPs active at period end","OutOfAreaReason","13","","","6"
"OAPs active at period end","OutOfAreaReason","14","","","11"
"OAPs active at period end","OutOfAreaReason","15","","","2"
"OAPs active at period end","PrimaryDiagnosis","England","","","528"
"OAPs active at period end","PrimaryDiagnosis","01","","","20"
"OAPs active at period end","PrimaryDiagnosis","02","","","164"
"OAPs active at period end","PrimaryDiagnosis","03","","","44"
"OAPs active at period end","PrimaryDiagnosis","04","","","54"
"OAPs active at period end","PrimaryDiagnosis","05","","","7"
"OAPs active at period end","PrimaryDiagnosis","06","","","2"
"OAPs active at period end","PrimaryDiagnosis","07","","","4"
"OAPs active at period end","PrimaryDiagnosis","08","","","24"
"OAPs active at period end","PrimaryDiagnosis","09","","","14"
"OAPs active at period end","PrimaryDiagnosis","10","","","1"
"OAPs active at period end","PrimaryDiagnosis","11","","","2"
"OAPs active at period end","PrimaryDiagnosis","12","","","0"
"OAPs active at period end","PrimaryDiagnosis","13","","","0"
"OAPs active at period end","PrimaryDiagnosis","14","","","37"
"OAPs active at period end","PrimaryDiagnosis","15","","","27"
"OAPs active at period end","PrimaryDiagnosis","16","","","6"
"OAPs active at period end","PrimaryDiagnosis","17","","","1"
"OAPs active at period end","PrimaryDiagnosis","18","","","119"
"OAPs active at period end","PrimaryDiagnosis","19","","","1"
"OAPs active at period end","PrimaryDiagnosis","20","","","0"
"OAPs active at period end","PrimaryDiagnosis","21","","","0"
"OAPs active at period end","PrimaryDiagnosis","22","","","1"
"OAPs active at period end","PrimaryDiagnosis","23","","","0"
"OAPs active at period end","ReceivingProvider","England","","","528"
"OAPs active at period end","ReceivingProvider","8HR47","","","*"
"OAPs active at period end","ReceivingProvider","999","","","35"
"OAPs active at period end","ReceivingProvider","AHL","","","*"
"OAPs active at period end","ReceivingProvider","NFJ","","","*"
"OAPs active at period end","ReceivingProvider","NHV","","","*"
"OAPs active at period end","ReceivingProvider","NMJ","","","75"
"OAPs active at period end","ReceivingProvider","NMQ","","","*"
"OAPs active at period end","ReceivingProvider","NMV","","","35"
"OAPs active at period end","ReceivingProvider","NNF","","","*"
"OAPs active at period end","ReceivingProvider","NQ4","","","*"
"OAPs active at period end","ReceivingProvider","NQL","","","*"
"OAPs active at period end","ReceivingProvider","NR0","","","*"
"OAPs active at period end","ReceivingProvider","NR5","","","*"
"OAPs active at period end","ReceivingProvider","NTN","","","160"
"OAPs active at period end","ReceivingProvider","NTT","","","*"
"OAPs active at period end","ReceivingProvider","NV2","","","20"
"OAPs active at period end","ReceivingProvider","NYA","","","10"
"OAPs active at period end","ReceivingProvider","R1A","","","*"
"OAPs active at period end","ReceivingProvider","R1C","","","*"
"OAPs active at period end","ReceivingProvider","R1E","","","*"
"OAPs active at period end","ReceivingProvider","R1F","","","*"
"OAPs active at period end","ReceivingProvider","RA9","","","*"
"OAPs active at period end","ReceivingProvider","RAL","","","*"
"OAPs active at period end","ReceivingProvider","RAT","","","*"
"OAPs active at period end","ReceivingProvider","RDY","","","*"
"OAPs active at period end","ReceivingProvider","RGD","","","10"
"OAPs active at period end","ReceivingProvider","RH5","","","*"
"OAPs active at period end","ReceivingProvider","RHA","","","15"
"OAPs active at period end","ReceivingProvider","RJ8","","","*"
"OAPs active at period end","ReceivingProvider","RJX","","","*"
"OAPs active at period end","ReceivingProvider","RKL","","","*"
"OAPs active at period end","ReceivingProvider","RLY","","","*"
"OAPs active at period end","ReceivingProvider","RMC","","","*"
"OAPs active at period end","ReceivingProvider","RMY","","","*"
"OAPs active at period end","ReceivingProvider","RNK","","","*"
"OAPs active at period end","ReceivingProvider","RNN","","","*"
"OAPs active at period end","ReceivingProvider","RNU","","","*"
"OAPs active at period end","ReceivingProvider","RP1","","","*"
"OAPs active at period end","ReceivingProvider","RP7","","","*"
"OAPs active at period end","ReceivingProvider","RPG","","","*"
"OAPs active at period end","ReceivingProvider","RQY","","","*"
"OAPs active at period end","ReceivingProvider","RR7","","","*"
"OAPs active at period end","ReceivingProvider","RRD","","","*"
"OAPs active at period end","ReceivingProvider","RRE","","","*"
"OAPs active at period end","ReceivingProvider","RRP","","","*"
"OAPs active at period end","ReceivingProvider","RT1","","","*"
"OAPs active at period end","ReceivingProvider","RT2","","","5"
"OAPs active at period end","ReceivingProvider","RT5","","","*"
"OAPs active at period end","ReceivingProvider","RTF","","","*"
"OAPs active at period end","ReceivingProvider","RTQ","","","*"
"OAPs active at period end","ReceivingProvider","RTV","","","*"
"OAPs active at period end","ReceivingProvider","RV3","","","5"
"OAPs active at period end","ReceivingProvider","RV5","","","*"
"OAPs active at period end","ReceivingProvider","RV9","","","*"
"OAPs active at period end","ReceivingProvider","RVN","","","10"
"OAPs active at period end","ReceivingProvider","RW1","","","*"
"OAPs active at period end","ReceivingProvider","RW3","","","*"
"OAPs active at period end","ReceivingProvider","RW4","","","*"
"OAPs active at period end","ReceivingProvider","RW5","","","*"
"OAPs active at period end","ReceivingProvider","RWK","","","15"
"OAPs active at period end","ReceivingProvider","RWN","","","*"
"OAPs active at period end","ReceivingProvider","RWR","","","*"
"OAPs active at period end","ReceivingProvider","RWV","","","*"
"OAPs active at period end","ReceivingProvider","RWX","","","*"
"OAPs active at period end","ReceivingProvider","RX2","","","15"
"OAPs active at period end","ReceivingProvider","RX3","","","85"
"OAPs active at period end","ReceivingProvider","RX4","","","*"
"OAPs active at period end","ReceivingProvider","RXA","","","*"
"OAPs active at period end","ReceivingProvider","RXE","","","*"
"OAPs active at period end","ReceivingProvider","RXG","","","*"
"OAPs active at period end","ReceivingProvider","RXL","","","*"
"OAPs active at period end","ReceivingProvider","RXM","","","*"
"OAPs active at period end","ReceivingProvider","RXT","","","*"
"OAPs active at period end","ReceivingProvider","RXV","","","*"
"OAPs active at period end","ReceivingProvider","RXX","","","*"
"OAPs active at period end","ReceivingProvider","RXY","","","*"
"OAPs active at period end","ReceivingProvider","RY6","","","*"
"OAPs active at period end","ReceivingProvider","RY8","","","*"
"OAPs active at period end","ReceivingProvider","RYG","","","*"
"OAPs active at period end","ReceivingProvider","RYK","","","*"
"OAPs active at period end","ReceivingProvider","RYW","","","*"
"OAPs active at period end","ReceivingProvider","TAD","","","*"
"OAPs active at period end","ReceivingProvider","TAE","","","10"
"OAPs active at period end","ReceivingProvider","TAF","","","*"
"OAPs active at period end","ReceivingProvider","TAH","","","*"
"OAPs active at period end","ReceivingProvider","TAJ","","","*"
"OAPs active at period end","Region","England","","","528"
"OAPs active at period end","Region","999","","","60"
"OAPs active at period end","Region","999","BedType","0","*"
"OAPs active at period end","Region","999","BedType","10","50"
"OAPs active at period end","Region","999","BedType","11","5"
"OAPs active at period end","Region","999","BedType","12","10"
"OAPs active at period end","region","999","Gender","0","*"
"OAPs active at period end","region","999","Gender","1","30"
"OAPs active at period end","region","999","Gender","2","30"
"OAPs active at period end","region","999","Gender","9","*"
"OAPs active at period end","region","999","Gender","X","*"
"OAPs active at period end","Region","999","MhaStatus","0","*"
"OAPs active at period end","Region","999","MhaStatus","1","30"
"OAPs active at period end","Region","999","MhaStatus","2","35"
"OAPs active at period end","Region","999","OutOfAreaReason","0","*"
"OAPs active at period end","Region","999","OutOfAreaReason","10","60"
"OAPs active at period end","Region","999","OutOfAreaReason","11","*"
"OAPs active at period end","Region","999","OutOfAreaReason","12","*"
"OAPs active at period end","Region","999","OutOfAreaReason","13","*"
"OAPs active at period end","Region","999","OutOfAreaReason","14","*"
"OAPs active at period end","Region","999","OutOfAreaReason","15","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","0","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","01","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","02","20"
"OAPs active at period end","Region","999","PrimaryDiagnosis","03","5"
"OAPs active at period end","Region","999","PrimaryDiagnosis","04","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","05","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","06","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","07","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","08","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","09","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","10","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","11","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","12","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","13","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","14","5"
"OAPs active at period end","Region","999","PrimaryDiagnosis","15","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","16","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","17","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","18","25"
"OAPs active at period end","Region","999","PrimaryDiagnosis","19","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","20","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","21","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","22","*"
"OAPs active at period end","Region","999","PrimaryDiagnosis","23","*"
"OAPs active at period end","Region","Y54","","","185"
"OAPs active at period end","Region","Y54","BedType","0","*"
"OAPs active at period end","Region","Y54","BedType","10","135"
"OAPs active at period end","Region","Y54","BedType","11","25"
"OAPs active at period end","Region","Y54","BedType","12","25"
"OAPs active at period end","region","Y54","Gender","0","*"
"OAPs active at period end","region","Y54","Gender","1","110"
"OAPs active at period end","region","Y54","Gender","2","75"
"OAPs active at period end","region","Y54","Gender","9","*"
"OAPs active at period end","region","Y54","Gender","X","*"
"OAPs active at period end","Region","Y54","MhaStatus","0","*"
"OAPs active at period end","Region","Y54","MhaStatus","1","105"
"OAPs active at period end","Region","Y54","MhaStatus","2","80"
"OAPs active at period end","Region","Y54","OutOfAreaReason","0","*"
"OAPs active at period end","Region","Y54","OutOfAreaReason","10","165"
"OAPs active at period end","Region","Y54","OutOfAreaReason","11","*"
"OAPs active at period end","Region","Y54","OutOfAreaReason","12","*"
"OAPs active at period end","Region","Y54","OutOfAreaReason","13","*"
"OAPs active at period end","Region","Y54","OutOfAreaReason","14","10"
"OAPs active at period end","Region","Y54","OutOfAreaReason","15","*"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","0","*"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","01","5"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","02","45"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","03","10"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","04","15"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","05","*"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","06","*"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","07","*"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","08","15"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","09","5"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","10","*"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","11","*"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","12","*"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","13","*"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","14","10"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","15","10"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","16","*"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","17","*"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","18","65"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","19","*"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","20","*"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","21","*"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","22","*"
"OAPs active at period end","Region","Y54","PrimaryDiagnosis","23","*"
"OAPs active at period end","Region","Y55","","","100"
"OAPs active at period end","Region","Y55","BedType","0","*"
"OAPs active at period end","Region","Y55","BedType","10","75"
"OAPs active at period end","Region","Y55","BedType","11","5"
"OAPs active at period end","Region","Y55","BedType","12","20"
"OAPs active at period end","region","Y55","Gender","0","*"
"OAPs active at period end","region","Y55","Gender","1","60"
"OAPs active at period end","region","Y55","Gender","2","40"
"OAPs active at period end","region","Y55","Gender","9","*"
"OAPs active at period end","region","Y55","Gender","X","*"
"OAPs active at period end","Region","Y55","MhaStatus","0","*"
"OAPs active at period end","Region","Y55","MhaStatus","1","60"
"OAPs active at period end","Region","Y55","MhaStatus","2","40"
"OAPs active at period end","Region","Y55","OutOfAreaReason","0","*"
"OAPs active at period end","Region","Y55","OutOfAreaReason","10","95"
"OAPs active at period end","Region","Y55","OutOfAreaReason","11","*"
"OAPs active at period end","Region","Y55","OutOfAreaReason","12","*"
"OAPs active at period end","Region","Y55","OutOfAreaReason","13","*"
"OAPs active at period end","Region","Y55","OutOfAreaReason","14","*"
"OAPs active at period end","Region","Y55","OutOfAreaReason","15","*"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","0","*"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","01","5"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","02","35"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","03","10"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","04","15"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","05","*"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","06","*"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","07","*"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","08","*"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","09","*"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","10","*"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","11","*"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","12","*"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","13","*"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","14","10"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","15","*"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","16","*"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","17","*"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","18","15"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","19","*"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","20","*"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","21","*"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","22","*"
"OAPs active at period end","Region","Y55","PrimaryDiagnosis","23","*"
"OAPs active at period end","Region","Y56","","","60"
"OAPs active at period end","Region","Y56","BedType","0","*"
"OAPs active at period end","Region","Y56","BedType","10","35"
"OAPs active at period end","Region","Y56","BedType","11","*"
"OAPs active at period end","Region","Y56","BedType","12","20"
"OAPs active at period end","region","Y56","Gender","0","*"
"OAPs active at period end","region","Y56","Gender","1","25"
"OAPs active at period end","region","Y56","Gender","2","35"
"OAPs active at period end","region","Y56","Gender","9","*"
"OAPs active at period end","region","Y56","Gender","X","*"
"OAPs active at period end","Region","Y56","MhaStatus","0","*"
"OAPs active at period end","Region","Y56","MhaStatus","1","35"
"OAPs active at period end","Region","Y56","MhaStatus","2","25"
"OAPs active at period end","Region","Y56","OutOfAreaReason","0","*"
"OAPs active at period end","Region","Y56","OutOfAreaReason","10","60"
"OAPs active at period end","Region","Y56","OutOfAreaReason","11","*"
"OAPs active at period end","Region","Y56","OutOfAreaReason","12","*"
"OAPs active at period end","Region","Y56","OutOfAreaReason","13","*"
"OAPs active at period end","Region","Y56","OutOfAreaReason","14","*"
"OAPs active at period end","Region","Y56","OutOfAreaReason","15","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","0","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","01","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","02","20"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","03","5"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","04","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","05","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","06","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","07","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","08","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","09","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","10","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","11","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","12","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","13","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","14","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","15","10"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","16","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","17","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","18","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","19","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","20","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","21","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","22","*"
"OAPs active at period end","Region","Y56","PrimaryDiagnosis","23","*"
